song_id,annotated_patterns,selected_patterns
NLB015569_01,8_10_12_1,"6_5_6,10_1_12_1,6_8,12_10,8_8,10_1_12,1_8_12_10_1_12,10_12_1_8_12,6_5,12_1,1_12_1,10_12,3_1,12_1_8,6_5_6_8,1_12,5_6"
NLB070033_01,"8_6_5_3,1_5_5","5_3,1_5_3_1_8_6,6_5_3,8_6_5,6_5,5_3_1_5_5_1,8_6,3_1,1_1,5_3_1,3_1_5_5_1,5_5_1_1_3_3,1_5_5_1_1_3,5_1_1_3_3_5,8_6_5_3,5_3_1_8_6_5,1_5,5_3_1_8_6,3_1_8_6_5_3"
NLB070053_01,"1_12_10_8_10_12_1,12_10,12_1_12_10_8_10_12_1,5_3_12_10,8_1_5_8_1,12_10_8","5_3_12_10_12_1,3_12_10_12_1_12,1_3_5_3_12_10,8_1,10_12,8_1_5_8_1,1_5_8_1_3_5,12_10,3_12_10_12_1,12_1,8_1_3_5_3_12,1_5,5_3_12_10_12,3_5_3_12_10_12,1_3,3_12_10_12,10_8,10_12_1,5_8,1_12"
NLB070078_01,"10_10_8_3,10_8","10_10_8,6_10_10_8_3_1,8_8,8_6,6_5_5_3_6_10,12_10_8_6_5_5,5_3_6_10_10_8,8_3,8_1,12_10,5_5_3_6_10_10,6_10_10_8_3,10_10_8_3,5_3_6_10,8_10,10_8,5_5_3_6_10,10_10,10_8_6"
NLB070079_01,"10_8_8,1_1,6_5_3,3_5_10_10_8,8_10_8,3_5_10_8_1,1_8_8_8_1_12,6_6,8_10_6_5","5_3,10_6,5_10_8_1,8_8,5_1_1_3_5_10,3_5,6_5,8_10_6_5_1,10_6_5_1_1,10_6_5_1_1_3,8_1,8_10_6_5_1_1,3_5_10,1_1_3_5_10,5_10,3_5_10_8_1,1_3,8_10,10_8,8_8_10_6_5_1"
NLB070089_01,"8_10_12_1,8_5_8_1,1_12_6","1_10_12_3_1_8,12_6_6_6_8,8_5_8_1,8_1,10_12,5_8_1,1_10_12_3_1,5_8,8_5,3_1,6_6,1_12_6_6_6,12_6_6_6_8_12,12_6_6_6,8_12_10_10_8_5,1_3,8_5_8,6_6_8_12_10_10"
NLB070096_01,"1_12_10_8_10_12_1,12_10,5_3_1_10,1_12_10_8,8_5_8_1","5_3_1_10_1,3_1_10_1,1_5_3_1_10_1,8_5_8_1,8_1,10_12,5_8_1,8_5,3_1_10_1_12_10,8_5_8,12_10,8_5_8_1_5_3,12_1,1_10_1_12_10,5_8_1_5_3_1,10_8,5_3_1_10_1_12,1_10_1_12_10_8,5_8,1_12"
NLB070122_01,"10_8_8,1_3_5_8_1_12,1_1,3_6_10_8_1,8_10_8,1_5_5_5,6_6,5_6_8,8_10_6_5,6_3","5_3,5_6_3_1_5_5,1_3_6_10_8,3_5,6_3_1_5_5,5_5_3_3_8_10,6_6,1_3_5_8_1_12,5_5,5_3_3_8_10_8,8_1,5_3_3_8_10,6_8_1_3_5_8,1_5_5_5_3_3,1_3,5_6,8_10,10_8,10_10,3_5_8_1_12_12"
NLB070125_01,"1_5_5_3,8_5_8_3_1","8_8,6_5_8_1_5_5,6_5,8_6,6_6,6_6_5_8_1_5,8_1,6_6_5_8_1,5_8_1_5_5_3,8_6_6_5_8_1,1_5,10_8_6_6_5_8,8_1_12_10_8_6,8_10,10_8,8_6_6_5_8,10_8_6,5_8,5_8_1_5_5,6_5_8_1_5"
NLB070134_01,"5_5_6_8_10_10_10,10_8_5,8_8_1","6_8,8_8,3_1_3_5_5,3_5,3_1,1_3_1_3_5,1_1,5_5,1_1_1_3_1_3,8_1,1_1_3_1_3_5,1_3,5_6,1_3_1_3,8_8_1_1_1_3,1_1_1_3_1,1_1_3_1_3,10_10,8_1_1_1_3_1,1_3_1_3_5_5"
NLB070137_01,"1_5_8_1,6_8_10_10_8,5_3_5_8_6,8_8_6_5,10_8_10_12_12_10_8,10_8_8_10_8_8","8_8,5_3_5_8_6,3_5_8_6_6,8_6,10_8_10_12_12,8_1,10_10_10_8_10_12,12_10,5_3_5_8_6_6,10_8_8_5_3_5,1_5,10_8_10_12_12_10,10_8_8,8_10,8_10_12_12_10_8,10_8,8_5_3_5_8,10_10,5_8,8_8_10_8_8"
NLB070141_01,"8_10_12_1,8_8_8_1,12_10_6","8_8_8_1_8_12,12_10,8_8,1_8,8_8_1_8_12_10,8_8_1_8_12,6_6_6_8_12_12,8_1,8_8_1,8_12_12_10_8_5,6_8_12_12_10_8,12_12_10_8_5,8_12,6_6,3_1,8_8_8,6_8_12_12_10,8_8_8_1"
NLB070144_01,"8_10_12_1,8_8_8_1,12_10_6,8_8_1","10_6,6_8,1_8,8_8,12_12_10_8_5_8,12_12_10_8_5,8_12,6_6,3_1,6_6_6_8_12_12,8_1,6_8_12_12,3_3_1_12_8,12_10,8_12_12_10_8_5,6_8_12_12_10_8,8_8_1,6_8_12_12_10,6_6_8_12_12_10"
NLB070238_01,"10_10_8,3_8,5_3_1","10_10_8,8_10,5_3,10_8,8_8,12_12_10,8_8_8_8_8,3_5,3_1_3_5_3_8,1_12_12_10_10,8_1,10_10,12_12_10_10,12_12_10_10_8,8_8_8,8_8_8_8,1_3"
NLB070360_01,"8_10_8_3,8_3_6_5_1,1_5_8","5_8_10_8,3_5,5_8_10,1_5_8_10,3_3,8_3,8_10_8_3,10_8_3,1_5_8_10_8,8_1,1_5_8,8_10_8,1_5,8_10,8_1_5_8_10,10_8,5_8_10_8_3,8_1_5_8_10_8,1_5_8_10_8_3,5_8"
NLB070411_01,"10_8_6_6_5,1_5_8,3_5_6_10_8_6_5_8_1","5_3,5_8_10_8,3_5,5_8_10,6_5_8_1_8_10,6_5,8_6,12_10_8_6_3,8_1_8_10_12_10,8_10_8,6_5_8_1_8,8_10,10_8,12_10_8_6_3_1,10_8_6,5_8,10_12_10_8_6_3,5_8_1_8_10_12,5_8_10_8_6"
NLB070463_01,"3_5_6_8_10_12_1_1,8_3,1_5_8,10_8_8_6_5","6_8,3_5,8_6,12_1_1_3_1_12,12_1_1_3,8_10_12_1_1_3,12_1_1_3_1,3_1_12_10_8_6,1_12_10_8,10_12_1_1_3,1_1_3_1_12_10,12_10,3_5_6_8_10_12,12_10_8,8_10,6_8_10_12_1_1,10_8,1_12_10,10_12_1_1_3_1,1_12"
NLB070475_01,"10_8_8,1_1,6_5_3,1_5_8_8,1_1_5_8_1_12,3_5_6_5_1,8_6_6_5,6_6,5_6_8,3_6_10_10_8","6_6_5_1,8_8,8_8_6_6_5_1,3_5,6_6_5_1_1,6_5,8_6,6_6,1_1,8_6_6_5_1_1,5_1,8_6_6_5_1,8_8_8_6_6,1_3,6_6_5_1_1_3,5_6,10_10,8_8_6_6,6_5_1,6_5_1_1_3"
NLB070492_01,"1_10_8,8_6_5_3,3_12_8,8_5_1,6_10_10_10","12_1_10_8,5_3,3_5,6_5,8_6,12_1_10,12_1_10_8_6,10_12_1_10_8,10_12_1_10_8_6,10_12,1_10_8_6_5_3,12_1,1_10_8_6,12_1_10_8_6_5,10_12_1_10,5_6,10_8,1_10,1_10_8_6_5,10_10"
NLB070493_01,"8_8_6_5_3,5_5_5_5,1_8,8_1","3_3,5_3,5_5_5_5_5,5_5,5_3_1,3_5,8_1,3_5_3_1_8,8_1_12_1,5_5_5_5,1_12_1_3,3_1,8_1_12_1_3,5_5_5_5_5_5,1_3,5_5_5"
NLB070521_01,"5_3_1,3_8,3_12_8,12_10_8","5_3,10_10_8,8_8,8_1_12_12_10_10,3_5,8_1_12_12_10,12_12_10_10_8,8_8_8,1_12_12_10_10_8,1_12_12,1_12_12_10_10,8_1,12_12_10,12_10,8_1_12_12,10_8,1_12_12_10,10_10,3_5_3"
NLB070526_01,"1_3_5,12_10_8,5_3_1","8_10,5_3,10_8,8_8,8_10_8_5,10_8_5_3_1,8_10_8,8_10_8_5_3,8_5,8_8_8,3_1,8_8_10,10_8_5,8_10_8_5_3_1,8_8_10_8_5,10_8_5_3"
NLB070532_01,"10_8_6_6_5,8_3,1_5_8,3_5_6_10_8_6_5_8","5_3,6_5,8_6,10_8_6_6_5_1,6_10_8_6_5_8,6_5_8_6_5_3,5_8_6_5_3_6,1_5_8,5_1_5_8_8_10,8_10_8,1_5,10_8_6_5_8_6,6_6_5_1_5_8,8_6_6_5_1_5,8_10,10_8,10_8_6,5_8,8_3_3_5_6_10,6_5_1_5_8_8"
NLB070535_01,"10_8,8_10_8_3,8_3_6_5_1,1_5_8","8_10_8_3_6,3_5,8_10_10_10_8,10_10_10_8_1,6_5,6_6,3_3,8_3,8_10_8_3,5_5,8_10_8_3_6_5,8_10_10_10_8_1,5_8_10_8_3_6,10_10_10_8_1_5,8_1,10_8_3_6_5_1,8_10,10_8,1_5_8_10_8_3,10_10"
NLB070606_01,"1_1,10_8,8_8_6_5,8_6_6,3_6_5_3_1,1_1_5_5,1_5_8_1_12,3_6_10_10_8,6_3","5_3,8_8,6_5,8_6,3_1,1_1,5_1_1_3_6,8_8_6_5_1,8_6_5_1_1,1_5,1_3,10_8_8_8_6_5,8_10,1_1_3_6,10_8,6_5_1_1_3_6,8_8_6_5_1_1,8_6_5_1_1_3,8_8_8_6_5_1,6_5_1_1_3"
NLB070693_01,"10_8,8_10_8_3,8_3_6_5_1,1_5_8","8_10,5_3,8_3,10_8,5_8_10_8_3,8_10_8_3,5_3_1,3_5,5_8_10_8,1_5_8_10_8,10_8_3,5_8_10,1_5_8_10_8_3,8_10_8,1_5,5_8,3_1,1_5_8_10"
NLB070732_01,"3_5_6_8_1,5_3,8_10_10_8_10_10","5_3,1_8,3_5,8_6,3_1,3_5_6_8_1,8_1,5_3_5_6_8_1,1_3_5_3_5,6_8_1_8,3_5_6_8_1_8,1_3_5_3_5_6,1_3,3_5_3_5_6_8,5_6,8_10,5_6_8_1_8,10_8,3_5_3_5_6,5_6_8_1"
NLB070740_01,"8_10_12_1,8_8_8_1","6_6_6_8_12_6,6_8,10_8,8_8,6_6_8_12_6_10,5_10_8_8_6,6_6_6_6_8_12,8_6,5_10,6_6_6,8_12,6_6,8_5,6_8_12,6_6_8_12_6,8_5_10_8_8_6,6_10_8_5_8_8"
NLB070748_01,"1_12_10_8_10_12_1,12_10,8_1_5_8_1,5_3_12_10_12,12_10_8","5_3_12_10_12_1,3_12_10_12_1_12,1_3_5_3_12_10,8_1,10_12,8_1_5_8_1,1_5_8_1_3_5,12_10,8_1_5,3_12_10_12_1,12_1,8_1_3_5_3_12,1_5,5_3_12_10_12,3_5_3_12_10_12,3_12_10_12,10_8,10_12_1,5_8,1_12"
NLB070801_01,"1_12_10_8,3_3_3_3","3_3,5_3,10_12_1_3_3_3,10_12_1_3_3,12_10,10_8,3_3_3,1_12,8_10_12_1_3_3,12_1_3_3_3_3,3_3_3_3_3,12_1_3_3_3,10_10,3_3_3_3,10_8_10_12_1_3,3_1,1_3"
NLB070839_01,"3_5_6_10_8_6_5_1_8,10_8_6_6_5,1_5_8","8_10,5_3,5_8_10_8,10_8,3_5,8_6_5,6_5_1_8_8_1,6_5_3_5_8_10,6_5,10_8_6_5_1,8_6,8_6_5_1,10_8_6,5_8,6_5_1,10_8_6_5,5_1_8_8_1_12,5_8_10_8_6"
NLB070996_01,"5_3_1_12,5_8_5,8_8_1,3_8,5_5_5_5,3_6_6_5_3_1","3_3,5_3,12_5_3_5,5_5,3_1_3,5_3_1,3_5,5_3_1_3_3_5,3_1_3_3_5,3_1_3_3,5_8_5_3_6_6,5_3_1_3_3,3_1,10_12_5_3_5,1_3,5_5_5,3_5_3"
NLB071014_01,"1_12_10_8_10_12_1,12_10,5_3_1_10,8_1_8_1,8_1_5_8_1,12_10_8","1_10_12_1_12_10,1_8,3_1_10_12_1_12,1_3_5_3_1_10,5_3_1_10_12,8_1,10_12,1_5_8_1_3_5,3_1_10_12_1,1_10_12_1,12_10,12_1,3_5_3_1_10_12,12_10_8,10_8,1_12_10,10_12_1,1_10_12_1_12,5_3_1_10_12_1,1_12"
NLB071016_01,"1_12_10_8,3_12_8,5_3_12_1","5_3,10_10_8,8_8,3_5,1_3_5,8_12_3,10_10_8_12,8_12_3_3_10,8_1,12_10,1_3_5_3_12,3_1_3_5_3_12,3_5_3_12,1_3,1_3_5_3_12_8,10_8,10_8_12_3,10_10,10_10_8_12_3,10_8_12"
NLB071064_01,"1_12_10_8_10_12_1,3_1_10,12_10,8_1_5_8_1,10_8_6_5","8_1_5_8,1_5_8_1_1,1_12_10_3_3,1_1,5_8_1_1,8_1,5_8_1,8_1_5_8_1,1_5_8,12_10,8_1_5,1_5_8_1,1_5,5_8_1_5_8_1,10_8,8_1_5_8_1_1,12_10_3_3_12_10,5_8,1_12"
NLB071082_01,"1_12_10_8_10_12_1,12_10,5_3_12_10,8_5_8_1,12_10_8","12_10_3_1,3_12_10_3_1,8_5_8_1,8_1,5_8_1,8_5,8_5_8,12_10,5_3_12_10_3_1,3_12_10_3_1_12,3_12_10_3,12_10_3_1_12_10,12_10_8,12_10_3_1_12,10_8,5_3_12_10_3,1_12_10,5_8,3_5_3_12_10_3,1_12"
NLB071227_01,"10_8,8_8_8_3,8_3_6_5_1,8_3_10_8_5,1_5_8","8_10,8_3,6_6_6_6,10_8,8_8,3_5,8_10_10_10_8_1,8_10_10_10_8,10_10_10_8_1_5,10_10_10_8_1,8_1,10_10,1_5_8_10_8_3,6_6_6,5_8,6_6,10_8_1_5_8_10"
NLB071237_01,"10_8_6_6_5,8_3,1_5_8,3_5_6_10_8_6_5_8","5_3,6_5,8_6,10_8_6_6_5_1,6_10_8_6_5_8,6_5_8_6_5_3,5_8_6_5_3_6,1_5_8,5_1_5_8_8_10,8_10_8,1_5,10_8_6_5_8_6,6_6_5_1_5_8,8_6_6_5_1_5,8_10,10_8,10_8_6,5_8,8_3_3_5_6_10,6_5_1_5_8_8"
NLB071369_01,"5_3,8_10_12_1,8_10_10_8_10_10","1_8,8_8,6_5,8_8_10_12_1_8,8_6,10_8_6_5_5_3,8_10_12,10_12,10_12_1_8_10_8,6_5_5_3_8,12_1,8_10_8_6_5_5,8_10,10_8_6_5_5,10_8,8_10_12_1_8_10,10_8_6,8_6_5_5_3_8,12_1_8_10_8_6,10_12_1_8_10"
NLB071441_01,"6_5_6_8_10_12_1_6,8_8_1,5_3_1","12_1_10_8,8_10,10_8,8_8,1_10_8,1_10_10_3,1_10_10_3_3_1,8_6_5,1_10,6_5,12_1,1_8_8_1_10_10,8_6,12_1_10,1_10_10_3_3,3_1,8_8_8,3_3_1_1_12_1"
NLB071478_01,"10_10_8,5_5_8_1_1,5_5_5_8_8_6,8_6_5,6_6_6_10_10_8,3_6_8_12_10_10","10_10_8,8_8,10_8_5_5_5,10_10_8_5_5_5,8_6,6_6,12_10_6_3_3,5_5_8,1_1,5_5,8_12_10_10_8_6,12_10_6_3_3_6,8_5_5_5_8,1_12_10_6_3,12_10,1_12_10_6_3_3,8_5_5_5_8_8,10_8,10_10,5_8"
NLB071666_01,"5_5_3_1,8_1","8_8,3_1_1_12,3_1,8_5_5_6_5_5,1_10_10_8_5_5,12_1_10_10_8_5,1_1,5_5,1_1_12_1_3_3,8_5,12_1_10_10_8,1_12_1_10_10,8_5_5_6,12_1,12_1_10_10,5_6,10_8,10_10,10_10_8_5_5_6,1_12"
NLB071669_01,"10_10_8_6_5_3,1_5_8,3_5_3","5_3,8_8,3_5,1_3_5,5_5_5_1_1_3,3_1,1_1,5_5,5_1_1_3_5_3,8_1,5_6_3_1_12,5_5_1_1_3_5,6_3_1_12_1,5_5_1_1_3,1_5,3_5_6_3_1_12,1_3,1_5_5_5_1_1,5_6_3_1_12_1,1_1_3_5"
NLB071944_01,"8_5_1,8_5_3,3_12_8","5_3,10_6,6_8,3_5,6_8_10_6_8_5,8_6,10_6_8_5_1_8,6_8_10_6_8,3_3,5_6_8_10_6_8,6_8_5_1_8,8_10_6_8,8_5,3_5_6_8_10_6,8_10_6_8_5_1,5_1,8_10_6_8_5,5_6,8_10,10_6_8_5_1"
NLB071957_03,"3_6_5_1,1_10_8","10_10_8,6_5,1_1_1_1_10_8,1_10_8_3,1_1,8_10_10_8,8_10_10,3_5_1_8_8_10,10_8_7_8_10_10,1_1_10_8_3_6,5_1,8_8_10_10_8_7,1_1_1,1_10_8_3_6_5,1_1_1_10_8_3,8_10,10_8,1_10_8_3_6,10_10,1_1_10_8_3"
NLB071958_01,"8_10_12_1,8_5_8_1,1_12_6","3_5_6_12_10,1_5_3_1_10_12,3_3_5_6_12_10,1_12,1_10_12_12_3_1,8_5_8_1,8_1,10_12,5_8_1,5_3_1_10_12_12,3_5_6_12_10_10,5_8,8_5,3_1,3_1_12_6_3_3,1_10_12_12_3,1_3,8_5_8"
NLB071974_02,"10_8_6_12,1_5_8","8_1_6_3,5_3,8_8,6_5,8_6_12_1_5_8,3_1,1_5_8_1_6_3,1_6_3_1_12,6_12_1_5_8_1,1_1,6_3_1_12_8_10,1_5_8_1_6,8_1,6_3_1_12_8,12_1,1_3,8_10,8_1_6_3_1_12,8_1_6_3_1,1_12"
NLB072003_01,"8_8_6_5_3,1_10,8_1,5_5_5_5","3_3,5_3,5_5_5_5_5,6_5_3_1_10,1_1,5_5,8_8,3_6_5_3_1_10,5_6_8_6_5_5,6_5,1_1_1,5_5_5_5,3_1,6_8_6_5_5_3,5_5_5"
NLB072015_01,"8_8_6_5_3,5_5_5_5,1_8,8_1","3_3,5_3,5_5_5_5_5,5_1_5_3_3_12,1_1_3_5_5_1,5_5,5_3_3,3_5,5_1,5_3_3_12_12_1,6_5,5_5_5_5,3_3_5_6_8_5,5_3_3_12_12,5_5_5,3_12_12_1"
NLB072085_01,"10_8,6_5_3,8_1,3_5_7_8","5_3,8_8,6_5_3,8_3_5_8,3_5,8_1_3_6_5_3,6_5,8_3_5_8_1,1_3_5_8_1_3,8_1,10_8_3_5,3_5_8_1,3_5_8,10_8_3_5_8_1,1_3,10_8,8_3_5,3_1_3_5_8_1,10_8_3_5_8,5_8"
NLB072103_01,"8_10_8_6_3_1,1_8_8_6_5_3","6_8,8_5_5_5_6_8,8_6_6_5_3_3,8_1_8_1,8_6,5_6_8,8_10_10_8_6_6,3_3,5_5,8_5_5_5_6,1_8_1_8,10_10_8_6_6,6_6_5_3_3_3,8_1_8_1_8,10_10_8_6_6_5,5_6,8_10,10_8,10_8_6,6_8_10"
NLB072154_01,"1_12_10_8,1_1_1_1","1_12_10_8_1,1_1,12_10,10_8,8_8,1_1_1_1_1,1_1_1_1,8_1_12,8_1,8_1_12_10_8,1_1_1,8_1_12_10_8_1,12_10_8_1,1_1_1_1_1_8,12_10_8,1_12,8_1_1_1_1"
NLB072237_01,"10_8,8_10_8_3,8_3_6_5_1,1_5_8","8_10,8_3,6_6_6_6,10_8,5_5,1_1,10_8_3,3_5,10_8_3_6_5,10_8_3_6,8_3_6,8_3_6_5,8_1_3_5_5_5,8_1,10_10,6_6_6,6_6,8_1_3_5_5"
NLB072248_01,"1_3_5_5_5_3,5_3_1","5_3,3_5,3_1_1_12,1_12_10_10_8_5,3_1,3_3,1_1,5_5,5_3_1,3_5_1_5_3_5,5_5_3_3_3_1,1_3_5_1_5_3,3_1_1_12_10,12_10_10_8_5_3,1_1_3_5_1_5,3_1_1,1_3,3_3_3_1_1_12,1_12"
NLB072250_01,"8_1_3_3_5,1_8,5_3_1","5_3,8_8,3_5_3_3_1_1,3_1,3_3_5_3_3_1,1_3_3_5_3_3,3_3,1_1,10_12_1_8_6_5,10_12,8_1_3_3_5_3,3_3_1_1_1,8_10_12_1_8_6,10_12_1_8_6,12_10,5_3_3_1_1_1,12_1,1_1_1,3_3_1_1_1_1,10_10"
NLB072253_01,"1_3_3_5_6,3_12_8","5_3,12_10_5,12_8_12_10_8,12_8_12_10_8_10,3_1,5_3_12_8_12,5_3_12_8_12_10,5_3_12,5_3_1,3_12_8,10_12,12_8,3_12,12_10,5_3_12_8,12_8_12,8_10,10_8,12_8_12_10"
NLB072254_01,8_8_1_3_3_5_10_8_1_3_6_8_8_5,"3_3,5_6_3_3_3,8_8,3_5,8_1_3,8_8_8_1_3,8_8_1_3,12_1_8_8_8_1,8_1,6_5,3_6,8_8_8,3_6_5_3,1_3,5_6,8_1_3_6_8_8"
NLB072255_01,8_1_3_3_5_8_5_1_8_8_6_5,"1_8,8_8,3_5,3_5_8_5_1,5_1_8,5_8_5_1,5_5,8_1,5_8_5_1_8_8,8_8_1_3,5_1,1_5,5_8_5_1_8,3_5_8_5_1_8,3_3_5_8_5_1,1_3,8_10_10_10_8_8,10_10,5_1_8_8,5_8"
NLB072256_01,"3_8,1_3_5_5_6_8,5_3_1","5_3,6_8,6_5_3_3_5_3,6_5_3,3_5,12_1_5_3_8,6_5,3_1,1_3_5_5_6_8,5_5,5_3_1,3_5_3_1_3_1,12_10_1_8,1_3_1_12_12_10,1_12_12_10_1_8,12_1_5_3_8_5,3_1_3_1_12_12,12_12_10_1_8,1_3,5_6"
NLB072257_01,8_1_3_3_5_10_8_5_1_10_8_6_5,"5_3,10_8,8_8,5_5,6_5_5_3_1_12,3_5,5_1_10_8,8_6_5,8_5_5_5_5_8,8_5_1_10_8_6,6_5,8_6,10_8_8_1_3_3,5_1_10_8_6,8_5,5_3_5_6_5_5,5_5_5,5_1_10_8_6_5"
NLB072283_01,"8_10_8_5_3_1,3_8_6_5_3_1","5_3,8_8,6_5_3,8_6_5,6_5,8_6,3_1,8_8_8,5_3_1,3_8_6,5_5_3_8_6,5_5_3_8_6_5,3_8_6_5,8_6_5_3,3_8_6_5_3,3_8_6_5_3_1,5_3_8_6_5,5_3_8_6,5_3_8_6_5_3"
NLB072284_01,"8_10_8_5_3_1,3_8_6_5_3_1","5_3,6_5_3,8_6_5,6_5,8_6,3_1,3_1_3_8,1_3_8_6,1_3_8_6_5_3,5_5,5_3_1,1_5_5_3_1_3,8_1,1_3_8_6_5,5_3_1_3_8,3_1_3_8_6,8_6_5_3,3_1_3_8_6_5,5_5_3_1_3_8,5_3_1_3_8_6"
NLB072285_01,"8_8_10_8_12_12_1,3_8_5_3_1","5_3,8_8,8_3_1_3_5_6,3_1,8_3_1_3_5,3_1_3_8_5_3,5_5,8_10_8_12_12,5_3_1,8_5,6_8_8_10_8_12,8_8_10_8_12,10_8_3_1_3_5,8_8_10_8_12_12,10_8_12_12_1,8_10_8_12_12_1,1_3,5_5_5,8_10,10_8"
NLB072286_01,"3_8_8_5_3_1,8_10_8_5_3_1","5_3,8_8,3_1_3_8_8_5,3_1,3_3,3_8_8_5_3_1,3_8_8_5_3,5_5,5_3_1,3_1_3_8_8,8_5,5_3_1_3_8_8,5_3_1_3_8,1_3_8_8_5_3,8_5_3,5_5_3_1_3_8,5_5_5,8_5_3_1,1_3_8_8_5"
NLB072287_01,3_8_8_5_3_1,"5_3,8_8,3_8,3_1,5_5,1_5_5_1_3,8_1,8_5,5_1_3_8_8,8_8_5_3_1_8,8_1_5_5_1_3,5_1_3_8_8_5,5_5_1_3_8,5_1,8_1_5_5_1,1_5,5_5_1_3_8_8,1_3_8_8_5_3,1_3,1_5_5_1_3_8"
NLB072288_01,"3_5_6_5_3_1,8_8_8_6_3_1","5_3,8_8,3_5,1_3_5,5_3_1_3_5,6_5,3_1,5_5_3_1_3_5,3_1_3,5_3_1,1_5_5_3_1_3,3_1_3_5_6_5,5_3_1_3_5_6,1_5_5_3_1,1_3_5_6,8_1_5_5_3,1_3,5_6,8_1_5_5_3_1,3_1_3_5_6"
NLB072289_01,"1_8_6_5_3,8_10_8_6_3_1","6_8,8_5_5_5_6_8,8_6_6_5_3_3,8_1_8_1,8_6,5_6_8,8_10_10_8_6_6,3_3,5_5,8_5_5_5_6,1_8_1_8,10_10_8_6_6,6_6_5_3_3_3,8_1_8_1_8,10_10_8_6_6_5,5_6,8_10,10_8,10_8_6,6_8_10"
NLB072299_01,"6_5_6_8_10_12_1_6,8_1,5_3_1","8_8,8_8_1_8_10_12,6_5,1_1,8_10_12,8_5_5_6_5_6,10_12,8_10_12_1,8_1_8_10_12_1,1_8_10_12_1_10,5_5_6_5_6_8,1_10_8_5_5,12_1_10_8_5_5,12_1,10_8_5_5_6_5,1_10_8_5_5_6,5_6,8_10,10_12_1,12_1_10_8_5"
NLB072306_01,"6_5_6_8_10_12_1_6,8_1_1,5_3_1","5_3,8_8,8_6_5,6_5,8_6,3_1,1_1,1_1_8_8_1,8_1,6_5_6_8_10_12,6_8_10_12_1_6,1_8_8_1_12_10,8_1_1_8_8,10_12_1_6_5_3,8_1_1_8,8_1_12_10_8_6,8_1_1_8_8_1,8_10,10_8,1_1_8_8_1_12"
